"","features","scores"
"1","ABC transporters",-3.88005119473939
"2","Two-component system",-3.61376097190331
"3","Quorum sensing",-3.35607082051834
"4","Pyruvate metabolism",-2.91886130208248
"5","Sulfur relay system",-2.8695001856197
"6","Butanoate metabolism",-2.80298770596344
"7","Base excision repair",-2.79331063433491
"8","Lysine degradation",-2.757402707129
"9","Nitrogen metabolism",-2.71613314957832
"10","Biofilm formation - Pseudomonas aeruginosa",-2.70932058161517
"11","Ascorbate and aldarate metabolism",-2.70831136611263
"12","Galactose metabolism",-2.66552671397272
"13","Lipoic acid metabolism",-2.64852805138707
"14","beta-Lactam resistance",-2.54127708324953
"15","Methane metabolism",-2.41482378689791
"16","Apoptosis - fly",-2.3874627835922
"17","Biosynthesis of siderophore group nonribosomal peptides",-2.37616739394218
"18","Aminobenzoate degradation",-2.2274544207649
"19","Tyrosine metabolism",-2.19293056985384
"20","Insulin signaling pathway",-2.17251871022227
"21","Steroid hormone biosynthesis",-2.15688757708887
"22","Tryptophan metabolism",-2.12956607407323
"62","Penicillin and cephalosporin biosynthesis",2.14610140965643
"63","Tetracycline biosynthesis",2.23165304079662
"64","Lysosome",2.36110554255463
"65","D-Glutamine and D-glutamate metabolism",2.43484789715625
"66","Cysteine and methionine metabolism",2.46721329883274
"67","Epithelial cell signaling in Helicobacter pylori infection",2.47674397645658
"68","Zeatin biosynthesis",2.4842188212897
"69","Nicotinate and nicotinamide metabolism",2.49470042283156
"70","Biofilm formation - Vibrio cholerae",2.53170372036664
"71","Arginine biosynthesis",2.6411539328274
"72","Riboflavin metabolism",2.65841785632993
"73","Protein processing in endoplasmic reticulum",2.701616007623
"74","Vitamin B6 metabolism",2.73921787781342
"75","DNA replication",2.87586835151529
"76","Purine metabolism",2.87725073077426
"77","Fructose and mannose metabolism",2.90001915963806
"78","Glycerophospholipid metabolism",2.97802111240268
"79","Ubiquinone and other terpenoid-quinone biosynthesis",2.98548479340445
"80","Pyrimidine metabolism",3.00083217440875
"81","Terpenoid backbone biosynthesis",3.10722980726692
"82","Phenylalanine, tyrosine and tryptophan biosynthesis",3.13152753235054
"83","Cell cycle - Caulobacter",3.13865637344049
"84","Thiamine metabolism",3.18115995245237
"85","Homologous recombination",3.31703465092395
"86","Lipopolysaccharide biosynthesis",3.36516982209687
